# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

LtnSmNPalHook,uni1D87
LtnSmOHorn,ohorn
ModSmCapIStrkDep,uniF1CB
LtnSmABreveHookAbv.2StorySItal.VN,uni1EB3.2StorySItal.VN
GrCapUpsilonWDasiaOxia,uni1F5D
LtnSmEDiaer,edieresis
LtnSmTDiaer,uni1E97
RomNumThree,uni2162
CyCapDje,uni0402
VS11.ShowInv,uniFE0A.ShowInv
LtnSmInsularR.sc,uniA783.sc
LtnSmQDiagStrk,uniA759
RtParen,parenright
GrPeris,uni1FC0
CombCommaBlw,uni0326
LtnSmVHook.StraightLft.sc,uni028B.StraightLft.sc
RomNumOneThousand,uni216F
LtnSmLAcute.SItal,lacute.SItal
CyCapElTail,uni04C5
LtnSmI.Dotless.SItal,i.Dotless.SItal
LtnSmTresillo.sc,uniA72B.sc
LtnSubSmM,uni2098
LtnSmPHighCurl,uniA755
LtnCapUTildeBlw,uni1E74
LtnSmTurnedRHookTail,uni2C79
TnLtrSpcPointRight,compTnLtrSpcPointRight
LtnSmDCaron.sc,dcaron.sc
TnLtrNineSeg79.Lines,uniF1F7F1F9.Lines
LtnSmABreve.SngStory.sc,abreve.SngStory.sc
CySmIGrave,uni045D
DongSgn,dong
CyCapEn,uni041D
CyCapUMacron,uni04EE
LtnSmIDiaer.sc,idieresis.sc
LtnCapHDescDep,uniF223
LtnCapSDiagStrk,uniA7A8
LtnSmGlottalStop,uni0242
GrSmUpsilonWDial,upsilondieresis
LtnSmACircumGrave.sc,uni1EA7.sc
CombDblOverline,uni033F
ModSmBottomHalfO,uni1D55
GrSmEtaWDasiaOxiaYpo,uni1F95
CySmDzhe.sc,uni045F.sc
LtnSmITilde.LP,itilde.LP
ModCapA,uni1D2C
GrSmEpsilonWDasiaVaria,uni1F13
LtnSubSmE,uni2091
LtnSmMMiddleTilde,uni1D6F
LtnSmYMacron,uni0233
SupplLftSubBrac,uni2E02
LtnSmLngSDotAbv,uni1E9B
LtnSmAMacron.2StorySItal.LP,amacron.2StorySItal.LP
LtnSmDHook.TopBar,uni0257.TopBar
LtnSmAInvBreve.sc,uni0203.sc
GrSmIotaWDasiaPeris,uni1F37
LtnSmSDotBlw,uni1E63
LtnSupSmTurnedVDep,uniF1B3
LtnSmTLineBlw.sc,uni1E6F.sc
LtnCapEStrk,uni0246
LtnSubSmA,uni2090
ModCapD,uni1D30
LtnSmACircumHookAbv.SngStory,uni1EA9.SngStory
FunctionApplication.ShowInv,uni2061.ShowInv
LtnSmETilde,uni1EBD
SupSix,uni2076
LtnCapOHornHookAbv,uni1EDE
LtnSmTrndInsularG.sc,uniA77F.sc
GrSmOmegaWPeris.Por,uni1FF6.Por
LtnSmG.SngBowl,g.SngBowl
LtnSmECircumAcute,uni1EBF
LtnCapIOgonek,Iogonek
CyCapLha,uni0514
LtnSmOHornTilde.LP,uni1EE1.LP
CombCircumGrave.VN,uni0302_gravecomb.VN
SupplRaisedInterpMkrDot,uni2E07
LtnSmDotlessJ,uni0237
LtnSmKLineBlw,uni1E35
CyCapEf,uni0424
LtnSmGAcute.SngBowl.LP,uni01F5.SngBowl.LP
RtCurlyBrac,braceright
ModTnYangRuDep,uniF1E6
CyCapEl,uni041B
CyCapEm,uni041C
GrSmSho,uni03F8
LtnLigSmFSmI,f_i
LtnSmLRetrHookBelt,uniA78E
LtnSmACircumGrave.SngStory.VN,uni1EA7.SngStory.VN
CyCapEr,uni0420
CyCapEs,uni0421
LftToRtMrk.ShowInv,uni200E.ShowInv
LtnLigSmFSmL.SItal.sc,f_l.SItal.sc
PartialDiff,partialdiff
LtnSmDotlessI,dotlessi
CySmI.sc,uni0438.sc
LtnSmDTailHook,uni1D91
